ts,type,ticker,signal,prev_signal,price,order_status,amount,profit_pct
2026-04-09 05:00:05 KST,RUN,KRW-BTC,HOLD,,106119000.0,,,
2026-04-09 09:00:05 KST,RUN,KRW-BTC,HOLD,,105862000.0,,,
2026-04-09 13:00:09 KST,RUN,KRW-BTC,HOLD,,105620000.0,,,
2026-04-09 17:00:05 KST,RUN,KRW-BTC,HOLD,,105911000.0,,,
2026-04-09 21:00:06 KST,RUN,KRW-BTC,HOLD,,106200000.0,,,
2026-04-10 01:00:06 KST,RUN,KRW-BTC,HOLD,,107039000.0,,,
2026-04-10 05:00:05 KST,RUN,KRW-BTC,HOLD,,106746000.0,,,
2026-04-10 09:00:11 KST,RUN,KRW-BTC,HOLD,,106588000.0,,,
2026-04-10 13:00:05 KST,RUN,KRW-BTC,HOLD,,106956000.0,,,
2026-04-10 17:00:05 KST,RUN,KRW-BTC,HOLD,,106550000.0,,,
2026-04-10 21:00:05 KST,RUN,KRW-BTC,HOLD,,107318000.0,,,
2026-04-11 01:00:05 KST,RUN,KRW-BTC,HOLD,,107629000.0,,,
2026-04-11 05:00:05 KST,RUN,KRW-BTC,HOLD,,108599000.0,,,
2026-04-11 09:00:06 KST,RUN,KRW-BTC,HOLD,,108281000.0,,,
2026-04-11 13:00:06 KST,RUN,KRW-BTC,HOLD,,108374000.0,,,
2026-04-11 17:00:05 KST,RUN,KRW-BTC,HOLD,,108174000.0,,,
2026-04-11 21:00:06 KST,RUN,KRW-BTC,HOLD,,108488000.0,,,
2026-04-12 01:00:06 KST,RUN,KRW-BTC,HOLD,,108444000.0,,,
2026-04-12 05:00:06 KST,RUN,KRW-BTC,HOLD,,109144000.0,,,
2026-04-12 09:00:06 KST,RUN,KRW-BTC,HOLD,,108555000.0,,,
2026-04-12 13:00:06 KST,RUN,KRW-BTC,HOLD,,106800000.0,,,
2026-04-12 17:00:06 KST,RUN,KRW-BTC,HOLD,,106905000.0,,,
2026-04-12 21:00:06 KST,RUN,KRW-BTC,HOLD,,106514000.0,,,
2026-04-13 01:00:05 KST,RUN,KRW-BTC,HOLD,,105802000.0,,,
2026-04-13 09:00:07 KST,RUN,KRW-BTC,HOLD,,105617000.0,,,
2026-04-13 13:00:06 KST,RUN,KRW-BTC,HOLD,,105945000.0,,,
2026-04-13 17:00:05 KST,RUN,KRW-BTC,HOLD,,105831000.0,,,
2026-04-13 21:00:06 KST,RUN,KRW-BTC,HOLD,,105932000.0,,,
2026-04-14 01:00:06 KST,RUN,KRW-BTC,HOLD,,106965000.0,,,
2026-04-14 05:00:10 KST,RUN,KRW-BTC,HOLD,,108611000.0,,,
2026-04-14 09:00:06 KST,RUN,KRW-BTC,HOLD,,109817000.0,,,
2026-04-14 13:00:05 KST,RUN,KRW-BTC,HOLD,,110062000.0,,,
2026-04-14 17:00:06 KST,RUN,KRW-BTC,HOLD,,110080000.0,,,
2026-04-14 21:00:06 KST,RUN,KRW-BTC,HOLD,,109712000.0,,,
2026-04-15 01:00:10 KST,RUN,KRW-BTC,HOLD,,111138000.0,,,
2026-04-15 05:00:05 KST,RUN,KRW-BTC,HOLD,,109939000.0,,,
2026-04-15 09:00:05 KST,RUN,KRW-BTC,HOLD,,109873000.0,,,
2026-04-15 13:00:05 KST,RUN,KRW-BTC,HOLD,,110120000.0,,,
2026-04-15 17:00:05 KST,RUN,KRW-BTC,HOLD,,109320000.0,,,
2026-04-15 21:00:11 KST,RUN,KRW-BTC,HOLD,,109921000.0,,,
2026-04-16 01:00:05 KST,RUN,KRW-BTC,HOLD,,109371000.0,,,
2026-04-16 05:00:06 KST,RUN,KRW-BTC,HOLD,,110573000.0,,,
2026-04-16 09:00:06 KST,RUN,KRW-BTC,HOLD,,110440000.0,,,
2026-04-16 13:00:06 KST,RUN,KRW-BTC,HOLD,,110410000.0,,,
2026-04-16 17:00:05 KST,RUN,KRW-BTC,HOLD,,110325000.0,,,
2026-04-16 21:00:05 KST,RUN,KRW-BTC,HOLD,,110320000.0,,,
2026-04-17 01:00:06 KST,RUN,KRW-BTC,HOLD,,110427000.0,,,
2026-04-17 05:00:06 KST,RUN,KRW-BTC,HOLD,,111001000.0,,,
2026-04-17 09:00:06 KST,RUN,KRW-BTC,HOLD,,110810000.0,,,
2026-04-17 13:00:06 KST,RUN,KRW-BTC,HOLD,,110306000.0,,,
2026-04-17 17:00:06 KST,RUN,KRW-BTC,HOLD,,110920000.0,,,
2026-04-17 21:00:06 KST,RUN,KRW-BTC,HOLD,,111885000.0,,,
2026-04-18 01:00:06 KST,RUN,KRW-BTC,HOLD,,114213000.0,,,
2026-04-18 05:00:07 KST,RUN,KRW-BTC,HOLD,,113885000.0,,,
2026-04-18 09:00:10 KST,RUN,KRW-BTC,HOLD,,113747000.0,,,
2026-04-18 13:00:06 KST,RUN,KRW-BTC,HOLD,,113798000.0,,,
2026-04-18 17:00:07 KST,RUN,KRW-BTC,HOLD,,113827000.0,,,
2026-04-18 21:00:06 KST,RUN,KRW-BTC,HOLD,,112401000.0,,,
2026-04-19 01:00:07 KST,RUN,KRW-BTC,HOLD,,112817000.0,,,
2026-04-19 05:00:09 KST,RUN,KRW-BTC,HOLD,,112225000.0,,,
2026-04-19 09:00:07 KST,RUN,KRW-BTC,HOLD,,112417000.0,,,
2026-04-19 13:00:06 KST,RUN,KRW-BTC,HOLD,,112052000.0,,,
2026-04-19 17:00:06 KST,RUN,KRW-BTC,HOLD,,111892000.0,,,
2026-04-19 21:00:06 KST,RUN,KRW-BTC,HOLD,,112397000.0,,,
2026-04-20 01:00:09 KST,RUN,KRW-BTC,HOLD,,112643000.0,,,
2026-04-20 05:00:06 KST,RUN,KRW-BTC,HOLD,,111700000.0,,,
2026-04-20 09:00:08 KST,RUN,KRW-BTC,HOLD,,110007000.0,,,
2026-04-20 13:00:06 KST,RUN,KRW-BTC,HOLD,,110842000.0,,,
2026-04-20 17:00:05 KST,RUN,KRW-BTC,HOLD,,111226000.0,,,
2026-04-20 21:00:05 KST,RUN,KRW-BTC,HOLD,,111640000.0,,,
2026-04-21 01:00:05 KST,RUN,KRW-BTC,HOLD,,112055000.0,,,
2026-04-21 05:00:06 KST,RUN,KRW-BTC,HOLD,,112811000.0,,,
2026-04-21 09:00:06 KST,RUN,KRW-BTC,HOLD,,112412000.0,,,
2026-04-21 13:00:06 KST,RUN,KRW-BTC,HOLD,,112074000.0,,,
2026-04-21 17:00:05 KST,RUN,KRW-BTC,HOLD,,112571000.0,,,
2026-04-21 21:00:06 KST,RUN,KRW-BTC,HOLD,,113040000.0,,,
2026-04-22 01:00:07 KST,RUN,KRW-BTC,HOLD,,112433000.0,,,
2026-04-22 05:00:06 KST,RUN,KRW-BTC,HOLD,,111730000.0,,,
2026-04-22 09:00:06 KST,RUN,KRW-BTC,HOLD,,113055000.0,,,
2026-04-22 13:00:05 KST,RUN,KRW-BTC,HOLD,,114711000.0,,,
2026-04-22 17:00:05 KST,RUN,KRW-BTC,HOLD,,115182000.0,,,
2026-04-22 21:00:07 KST,RUN,KRW-BTC,HOLD,,115780000.0,,,
2026-04-23 01:00:05 KST,RUN,KRW-BTC,HOLD,,117256000.0,,,
2026-04-23 05:00:05 KST,RUN,KRW-BTC,HOLD,,116675000.0,,,
2026-04-23 09:00:06 KST,RUN,KRW-BTC,HOLD,,115991000.0,,,
2026-04-23 13:00:06 KST,RUN,KRW-BTC,HOLD,,115489000.0,,,
2026-04-23 17:00:06 KST,RUN,KRW-BTC,HOLD,,115995000.0,,,
2026-04-23 21:00:10 KST,RUN,KRW-BTC,HOLD,,115557000.0,,,
2026-04-24 01:00:06 KST,RUN,KRW-BTC,HOLD,,116381000.0,,,
2026-04-24 05:00:06 KST,RUN,KRW-BTC,HOLD,,115655000.0,,,
2026-04-24 09:00:06 KST,RUN,KRW-BTC,HOLD,,116429000.0,,,
2026-04-24 13:00:06 KST,RUN,KRW-BTC,HOLD,,115921000.0,,,
2026-04-24 17:00:08 KST,RUN,KRW-BTC,HOLD,,115728000.0,,,
2026-04-24 21:00:06 KST,RUN,KRW-BTC,HOLD,,116300000.0,,,
2026-04-25 01:00:06 KST,RUN,KRW-BTC,HOLD,,116065000.0,,,
2026-04-25 05:00:06 KST,RUN,KRW-BTC,HOLD,,115581000.0,,,
2026-04-25 09:00:06 KST,RUN,KRW-BTC,HOLD,,115411000.0,,,
2026-04-25 13:00:09 KST,RUN,KRW-BTC,HOLD,,115568000.0,,,
2026-04-25 17:00:06 KST,RUN,KRW-BTC,HOLD,,115421000.0,,,
2026-04-25 21:00:05 KST,RUN,KRW-BTC,HOLD,,115813000.0,,,
2026-04-26 01:00:06 KST,RUN,KRW-BTC,HOLD,,115426000.0,,,
2026-04-26 05:00:06 KST,RUN,KRW-BTC,HOLD,,115351000.0,,,
2026-04-26 09:00:10 KST,RUN,KRW-BTC,HOLD,,115641000.0,,,
2026-04-26 13:00:05 KST,RUN,KRW-BTC,HOLD,,115353000.0,,,
2026-04-26 17:00:05 KST,RUN,KRW-BTC,HOLD,,116094000.0,,,
2026-04-26 21:00:07 KST,RUN,KRW-BTC,HOLD,,116074000.0,,,
2026-04-27 01:00:05 KST,RUN,KRW-BTC,HOLD,,115947000.0,,,
2026-04-27 05:00:09 KST,RUN,KRW-BTC,HOLD,,116020000.0,,,
2026-04-27 09:00:06 KST,RUN,KRW-BTC,HOLD,,116800000.0,,,
2026-04-27 13:00:45 KST,RUN,KRW-BTC,HOLD,,117109000.0,,,
2026-04-27 17:00:05 KST,RUN,KRW-BTC,HOLD,,115493000.0,,,
2026-04-27 21:00:05 KST,RUN,KRW-BTC,HOLD,,115730000.0,,,
